Description,Assignment group,Target
password change thru password management tool password manager hello sir try to change password thru above get below error pl help know what action to be take further to ensure all password be same everywhere since belo wmsg say all password be not change,GRP_0,0
unlock personal number in ess unlock personal number in ess,GRP_0,0
intermittent service on configair server in sid require probably restart on production server intermittent service on configair server in sid require probably restart on production server the error occur in production and show internal serrver error error while try to invoke the method java util list iterator of null object load from local variable local list the issue can be reproduce in production g company customer g and base material mm hss pm finish company customer g and start from scratch can select product platform g hp hss pm rough but the screen freeze log on language different en g de company customer g base material g have this issue already several time before and need always restart of the server thryeu be good contact person for this issue as be already work on the root cause with external vendor configair,GRP_14,4
unable to access vpn unable to access vpn,GRP_0,0
unable to open outlook unable to open outlook,GRP_0,0
install driver in printer hr in hostname install driver in printer hr in hostname,GRP_0,0
unable to send email from outbox unable to send email from outbox,GRP_0,0
access to business client drawing name xvgftyr tryfuh language browser microsoft internet explorer customer number summary can not seem to access the drawing from the netweaver application that be instal on computer doesn take to the same page that colleague have,GRP_0,0
take off email permission from personal phone name vdhfy language browser microsoft internet explorer customer number summary have scrap the old phone mail be configure in can take off the permission set to view mail on that phone,GRP_0,0
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
unable to view payslip in ie unable to view payslip in ie,GRP_0,0
prtgghjk password reset please reset hr tool gv password reset,GRP_0,0
channel partner receive multiple email from erp urgent hi channel partner with the email address receive email regard the pos error in matheywter of millisecond be very angry this need to be fix aerp attach be file extract from erp document the email,GRP_A,15
usa company interface fastethernet and gigabitethernet be down since pm et on usa company interface fastethernet and gigabitethernet be down since pm et on,GRP_8,13
password reset good morning have forget password for erp sid have make attempt and fail could please reset user would be dgrtrkjs,GRP_0,0
ess login issue ess login issue verify user detail employee and manager name check the user name in ad and reset the password advise the user to login and check caller confirm that be able to login issue resolve,GRP_0,0
unable to start dell in device be unable to start dell in tablet device,GRP_0,0
erp print tool install erp print tool install,GRP_0,0
good morning be have trouble get into vpn name language browser microsoft internet explorer customer number summary good morning be have trouble get into vpn can assist,GRP_0,0
install acrobat standard install acrobat standard,GRP_0,0
password reset from ad password reset from ad,GRP_0,0
reset the password for on erp qa erp please reset password to sid block login jdhdw,GRP_0,0
i use to have acce to this location on collaboration platform now do not need access regional controller,GRP_A,15
crm add in be get disabled from outlook crm add in be get disabled from outlook,GRP_0,0
outlook hang outlook hang,GRP_0,0
vpn not work vpn not work,GRP_0,0
reset password for use password management tool password reset employee be get an error user authentication fail when try to log into the ess portal be able to access erp and be able to access the hub try to reset and change password through password management tool password manager but get an error can not find account woodscf on target active directory user would be hdjdkt,GRP_A,15
job bkbackup tool sql prod inc fail in job scheduler at job bkbackup tool sql prod inc fail in job scheduler at,GRP_8,13
ess password reset ess password reset,GRP_0,0
wy printer please note some continuous erp printing be happen in printer wy the print be not give locally please arrange to cancel the same immediately as lot of paper be get waste,GRP_0,0
update java viewer dear all java viewer be not work any more need access to view scan inwarehouse tool in erp assume java update be require best,GRP_0,0
job job fail in job scheduler at job job fail in job scheduler at,GRP_5,11
hostname be currently experience high cpu utilization please investigate be observe below alert in monitor tool hostname be currently experience high cpu utilization please investigate,GRP_14,4
access to bex hello till last week be access bex report use mms portal and there be no issue start this week the system be incredibly slow when log in and finally do not allow to access any report can be the issue with any maintenance or access right or rather should try to access bex use different way below the print screen from what see after log in am also able to get to finance report see below however when click profitability analysis as be always do separate window be open however apart rom that the screen be blank appreciate support have great day robhyertyj manage director finance manager cee tel mob company polska sp o ul krzywoustego pozna www company com company polska sp o z siedzib polandiu pozna ul krzywoustego sp ka zarejestrowana s dzie rejonowym pozna nowe miasto wilda polandiu wydzia viii gospodarczy krs pod numerem kapita zak adowy pln nip,GRP_0,0
windows account lockout windows account lockout,GRP_0,0
ticket no comment add windy shi ticket no comment add select the follow link to view the disclaimer in an alternate language,GRP_0,0
account lock in erp sid account lock in erp sid,GRP_0,0
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
user need training to use engineering tool to view drawing user need training to use engineering tool to view drawing connect to the user system use teamviewer help and educate the user on how login to business client and view drawing issue resolve,GRP_0,0
skype not work hello be unable to access the skype the password be show error,GRP_0,0
account unlock request account unlock request,GRP_0,0
urgent delivery note creation request hello team could please generate delivery note for below order can not issue dn for so despite of enough stock for all of item at shipping plant sale org delivery plant plant shipping point tys so mm pc mm pc mm pc,GRP_A,15
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
error login on to the sid system error login on to the sid system,GRP_0,0
unable to take print out from wy unable to take print out from wy,GRP_19,5
job job fail in job scheduler at job job fail in job scheduler at,GRP_12,2
unlock supply chain software account hi there would please help unlock supply chain software account and reset supply chain software password,GRP_0,0
unable to access password management tool would password manager grauw try to change now password acc to attached mail but this don work be out of office for vacation time until now but password management tool link don work please help password expire in day the requirement to change password every day enhance datum security within company please login to step by step guide on use the self service tool be available here please do not reply to this email if require assistance please submit ticket to the global support center via any of these mode ticket tool email kind,GRP_2,6
job hostname fail fail in job scheduler at job hostname fail fail in job scheduler at,GRP_5,11
unable to login to erp sid unable to login to erp sid,GRP_0,0
crm license for user dfgry alaramdntyan be fw crm license for dfgry hello crm be not instal in laptop please support on this,GRP_19,5
unable to connect to vpn unable to connect to vpn,GRP_19,5
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
windows account lock window account lock,GRP_0,0
apply for mobile phone access to mail box apply for mobile phone access to mail box,GRP_0,0
datum not correctly pull for all the employee in the travel tool attendee interface datum not correctly pull for all the employee in the travel tool attendee interface,GRP_A,15
shipment notification be nwfodmhc exurcwkm re shipment notification dear pls help to update customer shipment notification email address b,GRP_A,15
to recover folder that by mistake copy to drive want recover folder,GRP_0,0
job bkwin hostname inc fail in job scheduler at job bkwin hostname inc fail in job scheduler at,GRP_8,13
network outage india site hard down since at pm et on no backup circuit what type of outage network circuit power please specify what type of outage top cert site no yes no na when do start pm et on scheduled maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have backup circuit no yes no na backup circuit active na yes no na site contact notify phone email na yes no na remote dial in na yes no na equipment reset na yes no na verified site work on backup circuit na yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc na yes no na cert start yes no na additional diagnostic,GRP_8,13
password reset request password reset request,GRP_0,0
user be not able to see all text in mail on iphone user be not able to see all text in mail on iphone,GRP_0,0
password reset password reset,GRP_0,0
unable to sync all mail in outlook on wifi unable to sync all mail in outlook on wifi,GRP_0,0
crm tab do not appear on outlook crm tab do not appear on outlook,GRP_0,0
unable to submit expense report as be lock by user unable to submit expense report as be lock by user,GRP_0,0
titcket update on inplant titcket update on inplant,GRP_0,0
i need to approve the new product request below need to approve the new product request below,GRP_A,15
ticket update on inplant ticket update on inplant,GRP_0,0
change desktop wallpaper change desktop wallpaper,GRP_0,0
unable to open website name xbdht yrjhd language browser microsoft internet explorer customer number summary benefit advisor will not run in browser,GRP_0,0
msd crm assign crm and license to use profile like,GRP_A,15
sound good afternoon be have issue again with notebook in that can not get any sound and can not participate in skype call,GRP_0,0
need the username to submit the insurance need the username to submit the insurance,GRP_0,0
query on external browser query on external browser,GRP_0,0
unable to access benefit and other app in hr tool one time unable to access benefit and other app in hr tool one time access deny,GRP_2,6
unable to see the current course in ethic unable to see the current course in ethic user would bdtryh,GRP_A,15
user click on driver update manually and then after restart the machine receivng error user click on driver update manually and then after restart the machine receive an error state pnp detect fatal error,GRP_0,0
erp sid account unlock erp sid account unlock,GRP_0,0
windows password reset windows password reset,GRP_0,0
telephone number update telephone number update,GRP_0,0
insurance information insurance information,GRP_0,0
please give chrtyad access to report tool ltaballotcsalesemp and map to thrdy tgyu team as an ae in the virtual table please give chrtyad access to report tool ltaballotcsalesemp and map to thrdy tgyu team as an ae in the virtual table,GRP_2,6
loud noise gso loud noise gso,GRP_0,0
ess kiosk user password reset ess kiosk user password reset,GRP_0,0
network outage warehouse node company up vpn rtr be down be what type of outage network circuit power please specify what type of outage top cert site no yes no na when do start be schedule maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have backup circuit no yes no na backup circuit active no yes no na site contact notify phone email yes no na remote dial in yes no na equipment reset yes no na verified site work on backup circuit yes no na vendor ticket global telecom verizon telecom vendor telecom vendor notify gsc yes no na cert start yes no na additional diagnostic,GRP_8,13
aw ticket no comment add hi have uacyltoe hxgayczeed in sid and work now correctly the accounting document be generate automatically without any error be approve the change best,GRP_A,15
erp sid account unlock erp sid account unlock,GRP_0,0
export shipment of grind mahcine to khdgd apac advance information hdytrkfiu pm export shipment of grind mahcine to khdgd apac advance information be pushixepyfbga wtqdyoin for dispatch an grind machine to khdgd apac tomorrow this be just for advance information once everything be in place will seek support in area to help in clear this consignment tomorrow,GRP_0,0
please add work phone number to profile contact phone,GRP_0,0
add member to dl add member to dl,GRP_0,0
java issue on uacyltoe hxgaycze laptop java issue on uacyltoe hxgaycze laptop,GRP_19,5
support r fa gstry support r fa konnica,GRP_24,7
probleme mit bluescreen hallo es ist erneut passiert der pc hat sich zum wiederholten male aufgeh ngt und mir lediglich einen blauen bildschirm mit weisser schrift pr sentiert be nnen wir da machen,GRP_24,7
job pp eu tool netch ap fail in job scheduler at job pp eu tool netch ap fail in job scheduler at,GRP_8,13
eu tool crash when confirmation be delete not able to remove scrap confirmation that have be rectify in erp eu tool crash when confirmation be delete not able to remove scrap confirmation that have be rectify in erp,GRP_25,8
enable bgdxitwu dhcopwxa active directory account enable bgdxitwu dhcopwxa active directory account name fdgrty summary nee bgdxitwu dhcopwxa active directory account enable,GRP_2,6
sync email issue sync email issue,GRP_0,0
internet explorer issue user be have issue with internet explorer the page keep refresh and end up with dll error,GRP_3,9
call for call for,GRP_0,0
blank call blank call,GRP_0,0
unable to view payslip unable to view payslip,GRP_0,0
customer not get order acknowledgement automatically two customer account have not be get the order acknowledgement automatically like have be for the past year both be under the same top parent acct and should automatically be send acknowledgement to since have not be get can someone look into this this be affect the customer pay the bill as use this acknowledgement as receiver so can pay the bill senior sale engineer company inc,GRP_13,3
production order lock production order be lock by user no one have be able to unlock can this order be unlocked inspection lot be be process by,GRP_14,4
i need access to finance section of hub could always get into the finance section and now can i need access please regional controller,GRP_A,15
erp sid account unlock and password reset erp sid account unlock and password reset,GRP_0,0
i ve receive the message below can tell from whom the email mention be send ve receive the message below can tell from whom the email mention be send,GRP_A,15
email address confirmation email address confirmation,GRP_0,0
erp pi and msd crm connectivity issue serirtce certificate renewal hi all have connectivity issue between erp pi and msd crm due to certificate renewal on azure website and that certificate be not yet update on erp pi side issue change to datum record account sale area data partner function contact lead be not be process from erp pi to work with msd crm and vice versa in all environment prod qa and dev issue start time pm troubleshooting step when tryhdty from customer master team report the issue that prospect account create in erp didn come into msd yet erp pi team observe that the record be in still await acknowledgement status which basically mean be not yet deliver receive by the target system upon some log analysis and try to identify the root cause between erp pi basis and msd team be observe that the issue have start in production environment since around est on observe the same behavior with azure mfg tool and erp pi log of other non production environment as well can find error screenshot from erp pi system in the mail chain root cause appear that the certificate for azure webapp have be update on as be near the expiration date th but the new certificate be not update on erp pi be not even aware of this change so when the production azure webapp company crm sp mfg toolt azurewebsite net get restart on around this connectivity appear to have be break next step need the azure webapp certificate chain to be send to erp basis team so that can update on erp pi system whom can reach out to for receive the certificate detail do have an azure admin in house or do want to open case with microsoft once certificate be receive maybe can first do this on qa system and then upon confirmation that work can apply to production and other environment,GRP_14,4
printer problem issue information please complete all require question below if not will be return back to the gsc requester to provide require information gsc to review ticket if not able to resolve then please assign to appropriate group per printer problem assignment flowchart printer name make model ex hq wy hp kd detailed description of the problem error say need to download and install software driver from the hostname computer to print to kd type of document not print email excel word etc word inwarehouse tool delivery note production order etc what system or application be use at time of the problem ex windows erp window if not print at all do respond to pe command on the network and have power cycle of the printer be complete not sure what this mean if erp system which system ex sid sid hrp plm not erp if an erp printer problem can the erp output be reroute to another erp printer temporarily not erp what printer can be reroute too if document be not print correctly please scan copy of the document and attach to the ticket tool ticket,GRP_3,9
power outage australia australia site hard down since at et on what type of outage network circuit power please specify what type of outage top cert site no yes no na when do start be et on scheduled maintenance power no yes no na company power provider power schedule maintenance network no yes no na company maint yes no provider maint ticket do site have backup circuit yes yes no na backup circuit active no yes no na site contact notify phone email na yes no na remote dial in na yes no na equipment reset na yes no na verified site work on backup circuit na yes no na vendor ticket global telecom verizon telecom vendor telecom vendor global telecom notify gsc na yes no na cert start yes no na additional diagnostic,GRP_8,13
unable to log into erp hello team be unable to log into erp account even the correct password would not accept need resolution on very urgent basis,GRP_0,0
windows password reset windows password reset,GRP_0,0
activate iphone set up spare company own iphone cause the old one be break agreement and supervisor appoval be attach now account be quarantine could please activate new device,GRP_0,0
login issue login issue verify user detail employee and manager name check the user name in ad and reset the password advise the user to login and check caller confirm that be able to login issue resolve,GRP_0,0
unable to print to printer welcome next available agent will be with shortly interaction alert agent website visitor have join the conversation hi,GRP_0,0
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
outlook crash welcome next available agent will be with shortly interaction alert agent website visitor have join the conversation hello gstdy yrada hi hello,GRP_A,15
need file restore on drive welcome next available agent will be with shortly interaction alert agent website visitor have join the conversation hello,GRP_0,0
sid logon balance error welcome next available agent will be with shortly interaction alert agent website visitor have join the conversation tyss ashdtyf greeting hi,GRP_0,0
unable to login to sfb name language browser microsoft internet explorer customer number summary hello problem sign in to skype,GRP_A,15
reset the password for on mail bitte passwort r mail zur cksetzen bitte neue passwort zu manager,GRP_0,0
password resetfor sid hello please unlock and reset password for sid system,GRP_0,0
babiluntr client license expire and client be now in uacyltoe hxgaycze mode eagl tel babiluntr client license expire and client be now in uacyltoe hxgaycze mode eagl tel,GRP_A,15
outbound call not possible via germany pbx system inbound call be work fine please check outbound call not possible via germany pbx system inbound call be work fine please check,GRP_A,15
probleme mit laufwerk probleme mit laufwerk,GRP_24,7
pls also extend mm and to purchasing user account need to create prs for both mm pls also extend mm and to purchasing user account need to create prs for both mm,GRP_A,15
the o can not be generate for dn dear would pls help to check dn o can not be generate for this dn,GRP_A,15
itry to open excel file with microsoft online but not work name language browser microsoft internet explorer customer number summary itry to open excel file with microsoft online but not work,GRP_0,0
unable to login to hr tool unable to login to hr tool,GRP_0,0
vip have be unable to access payandtaxes tab for several day hang on time clock what do need to do to reso gstdy tehdy be re fw access to time dear,GRP_0,0
business client not work business client not work,GRP_0,0
report tool erp hana error hi everytime want to set filter in report tool with data source pk publish pk otc billing otc billing i be get below error message,GRP_9,14
job bwhrattr fail in job scheduler at job bwhrattr fail in job scheduler at,GRP_9,14
please reset erp and bex password seem to by not synchronize thank director finance business company,GRP_0,0
netweaver funktioniert nicht mehr hallo netweaver funktioniert nicht mehr bzw kann ich nicht mehr ffnen mit freundlichen gr en good,GRP_0,0
a ndigung for fgxprnub hlanwgqj effective have be approve k ndigung for fgxprnub hlanwgqj effective have be approve,GRP_2,6
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
outlook setting be change outlook setting be change,GRP_0,0
job job fail in job scheduler at job job fail in job scheduler at,GRP_8,13
neue passwort r accountname tgryhu hgygrtui neues passwort r accountname tgryhu hgygrtui passwort r diesen account funktioniert nicht mehr mitarbeiter ist in kw und auf fr hschicht anwesend,GRP_0,0
check status tab be not appear in purchase screen check status button be not see in purchasing screen,GRP_0,0
printer problem issue information drucker scanner scanner findet pfad nicht mehr,GRP_0,0
unable to open erp sid while in office without log in to vpn remote be unable to login to erp throw balance error,GRP_0,0
windows account lock window account lock,GRP_0,0
skype meeting hello provide immediately the skype meeting option presently be not enable good,GRP_0,0
outlook folder folder office outlook folder folder office,GRP_A,15
can not login skype dear can not login the skype would pls help to check,GRP_A,15
sn os have be identify as unavailable via esrs monitoring service and have no esrs connectivity sn os have be identify as unavailable via esrs monitoring service and have no esrs connectivity,GRP_12,2
unable to create delivery mm can print n but can post detail information see attachment please provide the follow what order number what material or item number mm what warehouse location plant issue description error message see attachment,GRP_6,12
erp sid account lock erp sid account lock,GRP_0,0
